weapon,fire_count,hit,damage_0_rate,distance_mean,distance_min,distance_max,HeadShot,NeckShot,TorsoShot,PelvisShot,ArmShot,LegShot,NonSpecific,player_name
ACE32,44,0.182,0.6190476190476191,2.9385714285714286,0.84,4.96,4.0,0.0,11.0,0.0,4.0,2.0,0.0,lcwdLlyKn
M24,7,0.286,0.3333333333333333,140.33333333333334,100.95,218.22,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Letp-chen
MP5K,58,0.155,0.3076923076923077,12.313846153846153,5.43,21.75,1.0,0.0,10.0,2.0,0.0,0.0,0.0,Dy-Shiyansheng
M24,54,0.148,0.2,207.85700000000003,108.79,309.76,3.0,0.0,4.0,1.0,2.0,0.0,0.0,shisansui3373
SCAR-L,20,0.1,0.0,42.629999999999995,33.15,52.11,0.0,0.0,2.0,0.0,0.0,0.0,0.0,DogNoel
Kar98k,4,0.5,0.0,129.82999999999998,129.75,129.91,0.0,0.0,2.0,0.0,0.0,0.0,0.0,BridgetTSapir
AKM,12,0.083,0.0,10.22,10.22,10.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,liuliu-77
M249,41,0.122,0.6875,18.56375,7.33,27.37,1.0,0.0,10.0,0.0,0.0,5.0,0.0,liuliu-77
AUG,43,0.233,0.3333333333333333,35.868,16.34,44.54,0.0,0.0,10.0,0.0,3.0,2.0,0.0,luRenWang_left
Frag Grenade,1,0.0,1.0,33.364999999999995,32.33,34.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,luRenWang_left
MP5K,39,0.128,0.6428571428571429,9.372142857142858,7.68,10.1,4.0,0.0,7.0,0.0,0.0,3.0,0.0,luRenWang_left
AKM,21,0.143,0.0,38.42333333333334,38.38,38.46,0.0,0.0,1.0,2.0,0.0,0.0,0.0,zoum24
ACE32,39,0.103,0.0,8.935,1.41,16.36,0.0,0.0,1.0,0.0,1.0,2.0,0.0,Ktmsuperduke890
Beryl M762,20,0.15,0.7272727272727273,4.3,2.97,4.97,2.0,0.0,4.0,1.0,3.0,1.0,0.0,Ktmsuperduke890
Frag Grenade,2,1.0,0.3333333333333333,26.516666666666666,15.56,47.58,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Ktmsuperduke890
Sawed-off,2,3.5,0.0,7.37,7.37,7.37,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Ktmsuperduke890
AKM,7,0.286,0.5,1.1125,0.75,1.9,2.0,0.0,2.0,0.0,0.0,0.0,0.0,bule0109
M416,51,0.059,0.0,61.50666666666667,53.9,65.33,1.0,0.0,1.0,0.0,0.0,1.0,0.0,kui1314xiao
ACE32,24,0.083,0.0,35.519999999999996,34.55,36.49,0.0,0.0,1.0,0.0,1.0,0.0,0.0,qdUHtkKLxkZSi
M249,19,0.158,0.625,10.2425,10.22,10.27,1.0,0.0,6.0,0.0,1.0,0.0,0.0,LIU-DA-DAO
MP5K,21,0.095,0.0,10.02,10.02,10.02,0.0,0.0,2.0,0.0,0.0,0.0,0.0,HL-610-
Beryl M762,39,0.128,0.375,15.381250000000001,14.93,18.07,1.0,0.0,5.0,1.0,1.0,0.0,0.0,8kki
Mk12,22,0.136,0.0,26.036666666666665,8.43,35.02,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8kki
M249,30,0.3,0.1,19.79,12.96,30.63,0.0,0.0,7.0,0.0,1.0,2.0,0.0,Liujingzhu-aini
M16A4,6,0.333,0.0,6.359999999999999,5.54,7.18,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Zc-Aizhan
AKM,60,0.233,0.5625,11.9815625,1.93,24.45,0.0,0.0,26.0,2.0,3.0,1.0,0.0,dampfekusandaaz
Beryl M762,25,0.12,0.625,5.4675,3.97,7.13,3.0,0.0,1.0,0.0,3.0,1.0,0.0,shanirushacai
AKM,9,0.111,0.0,42.11,42.11,42.11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,zhengzheng9-88
AKM,20,0.25,0.375,10.6775,3.33,22.21,1.0,0.0,4.0,3.0,0.0,0.0,0.0,WuB1uB1u_-
M249,40,0.15,0.14285714285714285,19.40142857142857,17.83,22.64,0.0,0.0,1.0,1.0,0.0,5.0,0.0,NiuZiSeeY
Mk12,10,0.0,1.0,20.433333333333334,19.85,21.24,0.0,0.0,3.0,0.0,0.0,0.0,0.0,AKBiNiDiaoyin
ACE32,25,0.04,0.8,2.964,1.69,6.98,1.0,0.0,2.0,0.0,1.0,1.0,0.0,BaoNinaoke-_
M16A4,28,0.143,0.5,35.81125,35.37,36.38,2.0,0.0,0.0,2.0,2.0,2.0,0.0,BaoNinaoke-_
